User_ID,Case_Start_Date,Activity_Start_Date,Browser,Operating_System,Device,Visited_Page,Time_on_Page
e0c964f9811606fa,12/21/2021 12:44:00,2021-12-21 12:47:25,B_0,OS_0,D_0,Page_0,47
e0c964f9811606fa,12/21/2021 12:44:00,2021-12-21 12:47:11,B_0,OS_0,D_0,Page_1,14
e0c964f9811606fa,12/21/2021 12:44:00,2021-12-21 12:48:09,B_0,OS_0,D_0,Page_2,9
fcfc06e3434ee66f,12/8/2021 9:18:00,2021-12-08 09:22:06,B_1,OS_1,D_1,Page_3,12
209051f92ed54e86,12/12/2021 11:11:00,2021-12-12 11:11:00,B_2,OS_1,D_1,Page_4,409
b875a865b0181bd8,12/11/2021 14:40:00,2021-12-11 14:40:00,B_1,OS_1,D_1,Page_5,45
fdd80a91bdcc31d6,12/11/2021 20:55:00,2021-12-11 20:56:00,B_1,OS_1,D_1,Page_6,169
fdd80a91bdcc31d6,12/11/2021 20:55:00,2021-12-11 20:55:00,B_1,OS_1,D_1,Page_7,277
269d0e3694a6bd72,12/1/2021 16:38:00,2021-12-01 16:38:00,B_3,OS_0,D_0,Page_3,15
fd7c8965819b28aa,12/8/2021 12:38:00,2021-12-08 13:02:17,B_0,OS_0,D_0,Page_8,5063
fd7c8965819b28aa,12/8/2021 12:38:00,2021-12-08 12:54:47,B_0,OS_0,D_0,Page_9,450
fd7c8965819b28aa,12/8/2021 12:38:00,2021-12-08 12:38:00,B_0,OS_0,D_0,Page_10,1007
eb0c54da1da8bb6c,12/8/2021 15:59:00,2021-12-08 15:59:00,B_0,OS_0,D_0,Page_8,50
eb0c54da1da8bb6c,12/8/2021 15:59:00,2021-12-08 16:05:23,B_0,OS_0,D_0,Page_11,686
eb0c54da1da8bb6c,12/8/2021 15:59:00,2021-12-08 16:03:28,B_0,OS_0,D_0,Page_12,115
723fcefb496d7526,12/2/2021 9:43:00,2021-12-02 09:47:10,B_1,OS_1,D_1,Page_4,167
723fcefb496d7526,12/2/2021 9:43:00,2021-12-02 09:43:00,B_1,OS_1,D_1,Page_3,133
3eb323cdb41ed030,12/28/2021 11:56:00,2021-12-28 11:57:45,B_1,OS_1,D_1,Page_13,24
3eb323cdb41ed030,12/28/2021 11:56:00,2021-12-28 11:58:19,B_1,OS_1,D_1,Page_14,309
3eb323cdb41ed030,12/28/2021 11:56:00,2021-12-28 11:57:58,B_1,OS_1,D_1,Page_15,10
3eb323cdb41ed030,12/28/2021 11:56:00,2021-12-28 11:56:35,B_1,OS_1,D_1,Page_3,11
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:58:06,B_1,OS_1,D_1,Page_16,143
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:36:21,B_1,OS_1,D_1,Page_8,44
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:41:18,B_1,OS_1,D_1,Page_17,37
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:40:28,B_1,OS_1,D_1,Page_18,50
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:43:39,B_1,OS_1,D_1,Page_19,100
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:46:24,B_1,OS_1,D_1,Page_20,61
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:57:27,B_1,OS_1,D_1,Page_21,39
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:41:55,B_1,OS_1,D_1,Page_22,56
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:32:06,B_1,OS_1,D_1,Page_9,255
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:47:25,B_1,OS_1,D_1,Page_23,44
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:27:00,B_1,OS_1,D_1,Page_10,306
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:39:15,B_1,OS_1,D_1,Page_11,73
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:42:51,B_1,OS_1,D_1,Page_24,48
d550dcaa58622f68,12/3/2021 18:27:00,2021-12-03 18:38:08,B_1,OS_1,D_1,Page_12,67
d516168322e42bba,12/26/2021 13:16:00,2021-12-26 13:16:00,B_3,OS_0,D_0,Page_25,9
d516168322e42bba,12/26/2021 13:16:00,2021-12-26 13:16:11,B_3,OS_0,D_0,Page_26,1617
d516168322e42bba,12/26/2021 13:16:00,2021-12-26 13:16:09,B_3,OS_0,D_0,Page_3,2
7b3629bd5d3d5b12,12/26/2021 9:35:00,2021-12-26 10:03:28,B_3,OS_0,D_0,Page_25,161
7b3629bd5d3d5b12,12/26/2021 9:35:00,2021-12-26 10:03:20,B_3,OS_0,D_0,Page_27,1691
7b3629bd5d3d5b12,12/26/2021 9:35:00,2021-12-26 10:22:26,B_3,OS_0,D_0,Page_28,687
7b3629bd5d3d5b12,12/26/2021 9:35:00,2021-12-26 10:06:09,B_3,OS_0,D_0,Page_29,233
7b3629bd5d3d5b12,12/26/2021 9:35:00,2021-12-26 10:03:27,B_3,OS_0,D_0,Page_3,42
8c803f7fd143e468,12/29/2021 9:58:00,2021-12-29 10:15:34,B_3,OS_0,D_0,Page_30,378
8c803f7fd143e468,12/29/2021 9:58:00,2021-12-29 09:58:00,B_3,OS_0,D_0,Page_25,8
8c803f7fd143e468,12/29/2021 9:58:00,2021-12-29 10:15:29,B_3,OS_0,D_0,Page_31,1045
